index_name,station_id,station_name,cluster_reduced_features
cool_days,19996,Bahookalat,2
cool_days,40700,Parsabad,1
cool_days,40701,Maku,2
cool_days,40702,Jolfa,2
cool_days,40703,Khoy,2
cool_days,40704,Ahar,2
cool_days,40706,Tabriz,2
cool_days,40708,Ardebil,2
cool_days,40709,Astara,2
cool_days,40710,Sarab,2
cool_days,40712,Orumiyeh,2
cool_days,40713,Maragheh-Synoptic,2
cool_days,40716,Mianeh,2
cool_days,40717,Khalkhal,2
cool_days,40718,Bandar-E-Anzali,2
cool_days,40719,Rasht,2
cool_days,40723,Bojnurd,2
cool_days,40724,Piranshahr,2
cool_days,40726,Mahabad,2
cool_days,40727,Saqez,2
cool_days,40728,Takab,2
cool_days,40729,Zanjan,2
cool_days,40730,Khorramdareh,2
cool_days,40731,Qazvin,2
cool_days,40732,Ramsar,2
cool_days,40734,Nowshahr,2
cool_days,40736,Babolsar,2
cool_days,40737,Gharakhil,2
cool_days,40738,Gorgan,2
cool_days,40739,Shahrud,2
cool_days,40740,Quchan,1
cool_days,40741,Sarakhs,2
cool_days,40742,Biyarjomand,2
cool_days,40743,Sabzevar,2
cool_days,40744,Golmakan,2
cool_days,40745,Mashhad,2
cool_days,40746,Neyshabur,2
cool_days,40747,Sanandaj,2
cool_days,40748,Bijar,2
cool_days,40749,Zarrineh,2
cool_days,40751,Tehran (Shemiran),2
cool_days,40752,Karaj,2
cool_days,40754,Tehran (Mehrabad Airport),2
cool_days,40755,Abali,2
cool_days,40757,Semnan,2
cool_days,40758,Garmsar,2
cool_days,40762,Torbat-E Heydariyeh,2
cool_days,40763,Kashmar,2
cool_days,40764,Ravansar,2
cool_days,40765,Sarpol-E-Zahab,2
cool_days,40766,Kermanshah,2
cool_days,40768,Hamedan (Airport),2
cool_days,40769,Arak,2
cool_days,40770,Qom,2
cool_days,40771,Kangavar,2
cool_days,40772,Qorveh,2
cool_days,40774,Borujerd,2
cool_days,40778,Gonabad,2
cool_days,40779,Eslamabad-E-Gharb,2
cool_days,40780,Ilam,2
cool_days,40782,Khorramabad,2
cool_days,40783,Aligudarz,2
cool_days,40785,Kashan,2
cool_days,40787,Daran,2
cool_days,40789,Khur-Va-Biabanak,2
cool_days,40790,Robat-E-Poshtebadam,2
cool_days,40791,Tabas,2
cool_days,40792,Ferdows,1
cool_days,40793,Qaen,2
cool_days,40794,Safiabad (Dezful),2
cool_days,40796,Dehloran,2
cool_days,40797,Kuhrang,2
cool_days,40798,Shahrekord,2
cool_days,40799,Ardestan,2
cool_days,40800,Esfahan,2
cool_days,40801,Naein,2
cool_days,40802,Esfahan (Airport),2
cool_days,40803,Kabutarabad,2
cool_days,40809,Birjand,2
cool_days,40810,Bostan,3
cool_days,40811,Ahvaz,2
cool_days,40812,Masjedsoleyman,2
cool_days,40813,Ramhormoz,2
cool_days,40818,Abadeh,1
cool_days,40821,Yazd,1
cool_days,40827,Nehbandan,2
cool_days,40829,Zabol,2
cool_days,40831,Abadan,2
cool_days,40832,Bandar-E- Mahshahr,2
cool_days,40833,Omidiyeh (Aghajari),2
cool_days,40835,Dogonbadan,2
cool_days,40836,Yasuj,2
cool_days,40839,Anar,2
cool_days,40841,Kerman,1
cool_days,40844,Dorudzan,2
cool_days,40847,Zarqan,2
cool_days,40848,Shiraz,2
cool_days,40849,Shahrebabak,1
cool_days,40851,Sirjan,1
cool_days,40853,Baft,2
cool_days,40854,Bam,2
cool_days,40856,Zahedan,2
cool_days,40857,Bushehr (Coastal),3
cool_days,40858,Bushehr (Airport),2
cool_days,40859,Fasa,1
cool_days,40870,Khash,2
cool_days,40873,Lar,2
cool_days,40875,Bandarabbas,2
cool_days,40876,Minab,2
cool_days,40877,Kahnuj,1
cool_days,40878,Saravan,2
cool_days,40879,Iranshahr,1
cool_days,40882,Kish Island,2
cool_days,40883,Bandar-E-Lengeh,3
cool_days,40889,Siri Island,2
cool_days,40890,Abumusa Island,3
cool_days,40893,Jask,2
cool_days,40898,Chahbahar,4
cool_days,88187,Jam,2
cool_days,99331,Tehran (Geophysic),2
cool_days,99407,Boshruyeh,2
cool_days,99421,Natanz,2
cool_days,99459,Borujen,2
cool_days,99623,Zahak,2
cool_nights,19996,Bahookalat,2
cool_nights,40700,Parsabad,2
cool_nights,40701,Maku,2
cool_nights,40702,Jolfa,2
cool_nights,40703,Khoy,2
cool_nights,40704,Ahar,2
cool_nights,40706,Tabriz,2
cool_nights,40708,Ardebil,2
cool_nights,40709,Astara,2
cool_nights,40710,Sarab,2
cool_nights,40712,Orumiyeh,1
cool_nights,40713,Maragheh-Synoptic,2
cool_nights,40716,Mianeh,2
cool_nights,40717,Khalkhal,2
cool_nights,40718,Bandar-E-Anzali,2
cool_nights,40719,Rasht,2
cool_nights,40723,Bojnurd,2
cool_nights,40724,Piranshahr,2
cool_nights,40726,Mahabad,2
cool_nights,40727,Saqez,2
cool_nights,40728,Takab,2
cool_nights,40729,Zanjan,2
cool_nights,40730,Khorramdareh,2
cool_nights,40731,Qazvin,2
cool_nights,40732,Ramsar,2
cool_nights,40734,Nowshahr,2
cool_nights,40736,Babolsar,2
cool_nights,40737,Gharakhil,2
cool_nights,40738,Gorgan,1
cool_nights,40739,Shahrud,2
cool_nights,40740,Quchan,1
cool_nights,40741,Sarakhs,2
cool_nights,40742,Biyarjomand,2
cool_nights,40743,Sabzevar,2
cool_nights,40744,Golmakan,2
cool_nights,40745,Mashhad,2
cool_nights,40746,Neyshabur,2
cool_nights,40747,Sanandaj,2
cool_nights,40748,Bijar,2
cool_nights,40749,Zarrineh,2
cool_nights,40751,Tehran (Shemiran),2
cool_nights,40752,Karaj,2
cool_nights,40754,Tehran (Mehrabad Airport),2
cool_nights,40755,Abali,2
cool_nights,40757,Semnan,2
cool_nights,40758,Garmsar,3
cool_nights,40762,Torbat-E Heydariyeh,2
cool_nights,40763,Kashmar,2
cool_nights,40764,Ravansar,2
cool_nights,40765,Sarpol-E-Zahab,2
cool_nights,40766,Kermanshah,2
cool_nights,40768,Hamedan (Airport),2
cool_nights,40769,Arak,2
cool_nights,40770,Qom,2
cool_nights,40771,Kangavar,2
cool_nights,40772,Qorveh,2
cool_nights,40774,Borujerd,2
cool_nights,40778,Gonabad,2
cool_nights,40779,Eslamabad-E-Gharb,2
cool_nights,40780,Ilam,1
cool_nights,40782,Khorramabad,2
cool_nights,40783,Aligudarz,2
cool_nights,40785,Kashan,2
cool_nights,40787,Daran,2
cool_nights,40789,Khur-Va-Biabanak,2
cool_nights,40790,Robat-E-Poshtebadam,2
cool_nights,40791,Tabas,2
cool_nights,40792,Ferdows,2
cool_nights,40793,Qaen,2
cool_nights,40794,Safiabad (Dezful),2
cool_nights,40796,Dehloran,2
cool_nights,40797,Kuhrang,2
cool_nights,40798,Shahrekord,1
cool_nights,40799,Ardestan,2
cool_nights,40800,Esfahan,2
cool_nights,40801,Naein,2
cool_nights,40802,Esfahan (Airport),1
cool_nights,40803,Kabutarabad,2
cool_nights,40809,Birjand,2
